1. issue number,1.  Person name,1. ORCID,1. FSR long name,1. FSR thing,1. FSR np identifier,1. URI of duplicate(s) (multiple separated by ';'),1. Links correct,1. Proposed Links,1. Definition ok,1. FSR types ok,1. FAIRSharing DOI to be added,1. FSR creator in pubinfo (yellow):  FIP Wizard (F) or the ORCID,1. proposal: accept (A) / Improve (I) / Retract (R) / Disapprove (D),1. Proposed changes:,2. actual changes: accept (A) / Improve (I) / Retract (R) / Disapprove (D),2. URI of updated FSR,"2. if FSR is useless, check affected FIPs/SIPs (title)",2. Updated (U) /Deleted (D) entry in FIP/SIP
6,Barbara Magagna,0000-0003-2195-3997,CLARIN-AAI,http://purl.org/np/RA18MYiTNvef5lafQB4xlBxp_kmFOv5hbfD79iNM27h2Y#CLARIN-AAI,http://purl.org/np/RA18MYiTNvef5lafQB4xlBxp_kmFOv5hbfD79iNM27h2Y,http://purl.org/np/RAT9in2TdWL3HImjbVom90w7qaEjdCNNbDyfsdiUIdGfM,N,,N,Y,,F,I,delete link,I,http://purl.org/np/RAgG5ARw_ZRoK9FE3WxILU3ZtjP3Hf2uWh1krOcm5R9Ho,SSHOC-NL Socio Economic History (SSHOC-NL-SEH),U
353,Barbara Magagna,0000-0003-2195-3997,PROV,http://purl.org/np/RAwkMh0wc78U2JrLUj2d5yYlZuakRxdakcbIOtnBWu_FQ#PROV,http://purl.org/np/RAwkMh0wc78U2JrLUj2d5yYlZuakRxdakcbIOtnBWu_FQ,;http://purl.org/np/RAQXMhOmGWiIhMUa0HEnr_YWLkUdv5ViHQ4IsEmKoZARY,,,,,,,D,"disapprove, because there is already a qualified nanopub",D,,,
39,Barbara Magagna,0000-0003-2195-3997,The PROV Ontology,http://purl.org/np/RAXRcvurliS0y_bl2biZj564u8DXtHgqUhJohyvLgxvBk#PROV-O,http://purl.org/np/RAXRcvurliS0y_bl2biZj564u8DXtHgqUhJohyvLgxvBk,http://purl.org/np/RAQXMhOmGWiIhMUa0HEnr_YWLkUdv5ViHQ4IsEmKoZARY,,,,,,,D,"disapprove, because there is already a qualified nanopub",D,,SSHOC-NL Socio Economic History (SSHOC-NL-SEH),U
158,Barbara Magagna,0000-0003-2195-3997,NP_onto | Nanopublication Ontology,http://purl.org/np/RApuC_EaTSyzyYUWO3FP961yP_KnVvjXMzKfaCabJtiAo#NP_onto,http://purl.org/np/RApuC_EaTSyzyYUWO3FP961yP_KnVvjXMzKfaCabJtiAo,,N,https://github.com/Nanopublication/Guidelines/blob/master/nschema.ttl,N,Y,https://doi.org/10.25504/FAIRsharing.a6dcff,0000-0003-2195-3997,I,add FS description,I,https://w3id.org/np/RAM5zmbkctjoWZRFD2EKlKjfcrN5AnJtAN7XjUrIPUcBA,,
108,Juliana Menger,0000-0002-6968-8275,Mendeley Data,https://doi.org/10.25504/FAIRsharing.3epmpp,http://purl.org/np/RAEll2RGMLztIqiCOkL4VLi0hDOeh7KGMlf2UqrFy6Pms,,Y,,Y,Y,,F,A,,A,,,
351,Iseult Lynch,0000-0003-4250-4584,EML GBIF Profile,http://purl.org/np/RAvgMMvJIrJgi_s_qvl-0DfcbkaZB5QkGApkR95ZVSzBs#EML_GBIF_Profile,http://purl.org/np/RAvgMMvJIrJgi_s_qvl-0DfcbkaZB5QkGApkR95ZVSzBs,http://purl.org/np/RAZrUxNqmhHzxwpsrDW6veaq1TRzmRu2NHBTiM1obEbYU; http://purl.org/np/RAqyqN5z8kbVwUdbRbBbhlci5sn6CHSwx4EF0axJB4zUU,N,Add link: https://github.com/gbif/eml-profile,,,,0000-0002-8504-068X,D,"disapprove, because there is already a qualified nanopub",,,,
379,Anne Fouilloux,0000-0002-1784-2920,CEDAR workbench user account,https://purl.archive.org/np/RAp9mAr8_rruqiCKS9bI_1SgWZf4m-9dX6BCHEUSNuQoU#CEDAR_user_account,http://purl.org/np/RAp9mAr8_rruqiCKS9bI_1SgWZf4m-9dX6BCHEUSNuQoU,,Y,,N,Y,,F,I,Change definition to: This is the authentication and authorization service for the Center for Expanded Data Annotation and Retrieval (CEDAR) Workbench ,I,http://purl.org/np/RAyHeJFCuPxLvp919SV_gNhe7z7WAeiDZ8CgBVBncxPQc,,
379,Anne Fouilloux,0000-0002-1784-2920,CEDAR workbench user account,https://purl.archive.org/np/RAp9mAr8_rruqiCKS9bI_1SgWZf4m-9dX6BCHEUSNuQoU#CEDAR_user_account,http://purl.org/np/RAp9mAr8_rruqiCKS9bI_1SgWZf4m-9dX6BCHEUSNuQoU,,Y,,N,Y,,F,I,Change definition to: This is the authentication and authorization service for the Center for Expanded Data Annotation and Retrieval (CEDAR) Workbench ,I,http://purl.org/np/RAyHeJFCuPxLvp919SV_gNhe7z7WAeiDZ8CgBVBncxPQc,,
359,Gerhard Burger,0000-0003-1062-5576,Digital Object Identifier,http://purl.org/np/RAiyPQd01Y1u-qo3HG3PDVgpHiIuNO9YngYlju1WTyzRI#DOI,http://purl.org/np/RAiyPQd01Y1u-qo3HG3PDVgpHiIuNO9YngYlju1WTyzRI,http://purl.org/np/RAVI6ifsFrq3vkzlwYn5-D-x31ORGJEZ8af0DsBfzQprU,,,,,,0000-0001-8050-0299,D,Disapprove,D,,,
